Trip #,Post-trip,Outside temp ?C,Inside Temp ?C,Blue score,Distance Since start Km,Average Speed Since start Km/hr,Time Since start (includes key on),Economy Since start Kwh/100km,range indicator Km,Brake Mode,Climate control usage,Road style,Reset Meters,"                       Notes: Driving area, warnings, reminders, incedents, issues, feeling"
190,Y,-0.5,19,78,19,52,:22,18.8,75,D2,Y,Highway,Y,
191,Y,3.5,17,66,6,54,:06,26.2,157,D2,Y,Highway,Y,
192,Y,0.5,14,95,6,39,:09,20.5,152,0,Y,City/Highway,Y,
193,Y,-3.5,16,84,17,51,:20,17.5,154,D3,Y,Highway,Y,
194,Y,-5,7,95,4,25,:09,30.4,140,D1,Y,City/Highway,Y,
195,Y,-4.5,12,96,3,25,:08,24.3,133,D1,Y,City ,Y,
196,Y,-1,17,96,1,8,:12,39.8,134,D3,Y,City ,Y,
197,Y,-3.5,14,93,10,36,:17,19.8,123,D2,Y,City ,Y,
198,Y,-8,17.5,74,20,60,:21,22.7,96,D2,Y,Highway,Y,
199,Y,-14.5,15.5,77,17,57,:18,23.9,101,D2,Y,Highway,Y,
200,Y,-12.5,13,80,17,56,:18,25.4,84,D2,Y,Highway,Y,
201,Y,-9,19,76,17,60,:17,19.2,117,D1,Y,Highway,Y,
202,Y,-1,15,80,17,62,:17,19.9,106,D1,Y,Highway,Y,
203,Y,-3.5,11.5,78,14,62,:14,16.6,162,D1,Y,Highway,Y,
204,Y,-3,16,92,3,25,:08,19.1,158,D1,Y,City/Highway,Y,
205,Y,3.5,10,91,3,35,:05,23,155,D1,Y,City/Highway,Y,
206,Y,4.5,18,79,3,25,:07,16.7,156,0,Y,City/Highway,Y,
207,Y,7.5,17,86,3,30,:06,20.7,152,D1,Y,City/Highway,Y,
208,Y,7,21,90,3,18,:12,16.6,152,D1,Y,City/Highway,Y,
209,Y,5,21.5,78,19,55,:21,16.7,137,D1,Y,Highway,Y,
210,Y,-5,21,81,23,53,:26,18.2,164,D1,Y,Highway,Y,
211,Y,-10,17,93,3,23,:09,40.3,134,D1,Y,City/Highway,Y,
212,Y,-11.5,21,85,21,38,:34,23.9,109,D1,Y,City/Highway,Y,
213,Y,-22.5,1,73,15,56,:16,32.2,103,D1,Y,Highway,Y,Feels warmer than the indicated in the car
214,Y,-22,15,95,8,27,:19,43.7,84,D1,Y,City ,Y,
215,Y,-23.5,1,82,16,46,:21,38,58,D1,Y,Highway,Y,Feels warmer than the indicated in the car
216,Y,-24.5,5,81,17,54,:19,29.4,93,D1,Y,Highway,Y,Feels warmer than the indicated in the car
217,Y,-23,3,98,4,24,:11,42.8,84,D1,Y,City ,Y,Feels warmer than the indicated in the car
218,Y,-20,14,97,4,24,:12,43,86,D1,Y,City ,Y,Level 1 charger doesn't always fully charge overnight
219,Y,-23.5,16.5,82,17,53,:19,32.3,59,D1,Y,Highway,Y,With it this cold the range of the car is diminished and a level 2 charger is almost neccesary
220,Y,-24,3,79,18,51,:21,30.9,73,D1,Y,Highway,Y,
221,Y,-21.5,4,91,4,28,:09,45.7,72,D1,Y,City/Highway,Y,
222,Y,-21.5,7.5,96,1,17,:05,54.9,62,D1,Y,City ,Y,
223,Y,-30.5,7.5,82,20,58,:21,29,48,D1,Y,Highway,Y,Went to eco mode at 52km range. The car felt cool by the  end of the trip.
224,Y,-35,3,77,17,58,:18,32.5,57,D1,Y,Highway,Y,
225,Y,-22.5,18,79,17,49,:21,33.2,70,D1,Y,Highway,Y,
226,Y,-23,11,94,17,49,:21,28.8,87,D1,Y,Highway,Y,
227,Y,-19,12.5,86,17,49,:21,33.4,74,D1,Y,Highway,Y,
228,Y,-23.5,2,72,14,64,"""13",29.3,92,D1,Y,Highway,Y,
229,Y,-23.5,-2,88,0,16,:03,60.3,90,0,Y,City ,Y,
230,Y,-24,16,80,14,55,:15,33.9,74,D1,Y,Highway,Y,
231,Y,-29.5,0,73,14,61,:13,31.2,90,D1,Y,Highway,Y,
232,Y,-27.5,5,84,3,27,:08,54.3,83,D1,Y,City/Highway,Y,
233,Y,-26,4,97,3,25,:08,39.9,77,D1,Y,City ,Y,
234,Y,-24,3,94,3,21,:08,48.8,70,D1,Y,City ,Y,
235,Y,-22.5,18.5,73,19,60,:19,33.3,53,D1,Y,Highway,Y,
236,Y,-28,2,82,9,59,:09,24.8,43,D1,Y,Highway,Y,
237,Y,-26.5,5,81,17,50,:21,32,58,D1,Y,Highway,Y,
238,Y,-19.5,7.5,91,9,45,:12,31.7,75,D1,Y,City/Highway,Y,
239,Y,-18.5,19,86,9,38,:15,34.9,59,D1,Y,City/Highway,Y,
240,Y,-20,8,80,17,53,:19,32.7,59,D1,Y,Highway,Y,
241,Y,-19,14,81,17,54,:19,29.7,64,D1,Y,Highway,Y,
242,Y,-17.5,11,92,4,29,:10,39.2,80,D1,Y,City/Highway,Y,
243,Y,-18,14.5,81,4,37,:08,33.4,67,D1,Y,City/Highway,Y,With temperatures this cold the level 1 charger is not keeping up unless plugged in at work
