"","trip#","driver#","#occupants","pre-trip","date_trip","time_start","lighting","road_conditions","odometer","starting_outside_temp","starting_inside_temp","departure_trip","range_start","drive_mode","notes_start","post-trip","outside_temp_finish","inside_temp_finish","blue_score","distance","average_speed","time_finish","economy","range_finish","brakemode","climate_control","road","reset_distance","notes_finish","charge_location","date_charge","time","plugin_temp","unplug_temp","departure_charge","power_usage","cost","notes_charge"
"331",331,"1",1,"Y",2019-03-19,18:09:00,"Sunny","Clear",4479,12.5,23.5,"N",187,"N",NA,"Y",9.5,23.5,79,17,57,":18",16.3,170,"D1","N","Highway","Y",NA,"2home",2019-03-19,18:28:00,9.5,0.5,"Y",8.7,NA,NA
"332",332,"1",1,"Y",2019-03-20,06:44:00,"Dark","Clear",4496,0.5,13.5,"N",199,"N",NA,"Y",-1.5,16,80,17,47,":22",15.8,186,"D1","Y","Highway","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"333",333,"1",1,"Y",2019-03-20,09:21:00,"Sunny","Clear",4514,2.5,16.5,"N",191,"N",NA,"Y",2.5,19,90,3,25,":09",11.9,191,"D1","Y","City","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"334",334,"1",1,"Y",2019-03-20,10:21:00,"Sunny","Clear",4517,9.5,24.5,"N",193,"N",NA,"Y",5.5,24.5,93,3,22,":10",18.8,193,"D2","N","City","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"335",335,"1",2,"Y",2019-03-20,13:06:00,"Sunny","Clear",4521,16.5,NA,"N",193,"N","hot in the car no computer data","Y",14.5,NA,94,1,14,":07",15.6,192,"D2","N","City","Y","Hot inside no temp data",NA,NA,NA,NA,NA,NA,NA,NA,NA
"336",336,"1",1,"Y",2019-03-20,16:24:00,"Sunny","Clear",4523,19.5,43,"N",192,"N",NA,"Y",16,29.5,80,17,53,":20",15.7,167,"0","Y","Highway","Y",NA,"2home",2019-03-20,18:50:00,16,0,"Y",9.3,NA,NA
"337",337,"1",1,"Y",2019-03-21,06:53:00,"Dim","Clear",4546,0,16.5,"N",218,"N",NA,"Y",-1.5,13,75,14,63,":13",14.1,209,"D2","N","Highway","Y","wash",NA,NA,NA,NA,NA,NA,NA,NA,NA
"338",338,"1",1,"Y",2019-03-21,07:13:00,"Dim","Clear",4555,11,11.5,"N",209,"N","Inside carwash (leaving)","Y",-2,15.5,92,4,16,":18",19.2,184,"D2","Y","City/Highway","Y","Demo ride some of trip had 2 passengers",NA,NA,NA,NA,NA,NA,NA,NA,NA
"339",339,"1",1,"Y",2019-03-21,11:18:00,"Sunny","Clear",4560,15,37.5,"N",201,"N",NA,"Y",8.5,37,94,2,29,":05",15.1,197,"D2","N","City","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"340",340,"1",1,"Y",2019-03-21,11:38:00,"Sunny","Clear",4562,9,36.5,"N",197,"N",NA,"Y",9,34.5,92,4,21,":11",9,203,"D2","N","City","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"341",341,"1",1,"Y",2019-03-21,11:54:00,"Sunny","Clear",4566,9,33,"N",203,"N",NA,"Y",9.5,31.5,91,4,29,":08",15.7,196,"D2","N","City","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"342",342,"1",1,"Y",2019-03-21,01:16:00,"Sunny","Clear",4570,14.5,NA,"N",197,"N","hot in the car no computer data Media prep and pics","Y",15.5,NA,93,1,11,":07",16.8,195,"0","N","City","Y","Hot inside no temp data",NA,NA,NA,NA,NA,NA,NA,NA,NA
"343",343,"3",1,"Y",2019-03-21,16:17:00,"Sunny","Clear",4572,23.5,40.5,"N",196,"N",NA,NA,18,23,85,11,21,":44",13,187,NA,"N","City",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"344",344,"3",1,NA,2019-03-22,08:30:00,"Sunny","Clear",NA,3,3,NA,100,"N",NA,NA,1,12,63,23,22,":39",21.1,140,"D3","Y","City/Highway",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"345",345,"3",1,NA,2019-03-22,14:25:00,"Sunny","Clear",4606,22,41,NA,142,"N",NA,NA,18,27,91,4.3,18,":15",13.8,139,"B","N","City","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"346",346,"3",4,NA,2019-03-23,10:00:00,"Sunny","Clear",4612,2,2,"N",136,"N",NA,NA,NA,NA,68,7.5,NA,NA,NA,NA,"B","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"347",347,"3",4,NA,2019-03-23,11:30:00,"Sunny","Clear",4620,6.5,10,NA,NA,"N",NA,NA,7.5,NA,65,7.3,38,":23",19.9,103,NA,NA,"City/Highway","N",NA,"1home",2019-03-24,13:30:00,-1,1,"Y",21.8,NA,"Plugged in at driver 3 residence      Departure was set way earlier then leave time"
"348",348,"3",1,NA,2019-03-25,08:00:00,"Dim","Clear",4629,2.5,4,"N",174,"N",NA,NA,1.5,22,98,4,23,":12",25.3,161,"B","Y","City","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"349",349,"1",1,"Y",2019-03-25,16:00:00,"Sunny","Clear",4634,11.5,NA,"N",169,"N","Warm inside car, surface was dead","Y",11,28,85,18,42,":27",15.9,164,"D2","Y","City/Highway","Y",NA,"2home",2019-03-25,16:35:00,11,5,"Y",5.7,NA,NA
"350",350,"1",1,"Y",2019-03-26,06:47:00,"Dim","Clear",4653,5,14,"Y",186,"N",NA,"Y",2,22,76,17,56,":18",14.8,182,"D2","Y","Highway","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"351",351,"1",1,"Y",2019-03-26,11:00:00,"Dim","Clear",4670,7.5,16,"N",185,"N",NA,"Y",10.5,22,93,4,23,":12",11.2,188,"D2","Y","City","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"352",352,"1",1,"Y",2019-03-26,11:39:00,"Dim","Clear",4675,10.5,19,"N",188,"N",NA,"Y",10.5,22,95,4,32,":07",17,183,"D2","Y","City","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"353",353,"1",1,"Y",2019-03-26,16:47:00,"Sunny","Clear",4679,18,31.5,"N",186,"N",NA,"Y",14,27,79,17,52,":20",17.5,158,"D2","Y","Highway","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"354",354,"1",1,"Y",2019-03-27,06:53:00,"Dim","Clear",4697,1.5,1.5,"N",152,"N",NA,"Y",1.5,20.5,72,14,63,":13",16.5,139,"D3","Y","Highway","Y","car wash",NA,NA,NA,NA,NA,NA,NA,NA,NA
"355",355,"1",1,"Y",2019-03-27,07:22:00,"Dim","Clear",4711,13,13,"N",140,"N","In car wash, noticed slight scratch on hood","Y",1.5,18.5,84,3,30,":06",18.9,135,"D3","Y","Highway","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"356",356,"1",1,"Y",2019-03-27,15:03:00,"Dim","Clear",4714,5.5,15.5,"N",136,"N",NA,"Y",6,22.5,82,17,52,":20",17.7,114,"D3","Y","Highway","Y",NA,"2home",2019-03-27,15:24:00,6,-4.5,"Y",16.3,NA,"1.3kwh for departure"
"357",357,"1",1,"Y",2019-03-28,06:48:00,"Dim","Clear",4732,-4.5,10.5,"Y",183,"N",NA,"Y",-5,15,80,17,57,":18",17.5,168,"D3","Y","Highway","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"358",358,"1",2,"Y",2019-03-28,12:43:00,"Sunny","Clear",4749,11,37,"N",178,"N","Demo","Y",7,25,86,20,22,":04",12.8,180,"D3","N","City/Highway","Y","demo ride and wash",NA,NA,NA,NA,NA,NA,NA,NA,NA
"359",359,"1",1,"Y",2019-03-28,13:59:00,"Sunny","Clear",4770,7,25.5,"N",181,"N","In car wash","Y",4.5,25,84,3,30,":07",14.4,177,"D3","N","Highway","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"360",360,"1",2,"Y",2019-03-28,14:21:00,"Sunny","Clear",4773,5,21,"N",177,"N","Media and demo","Y",8,16.5,86,3,11,":17",15.2,176,"0","N","City","Y","Media and demo",NA,NA,NA,NA,NA,NA,NA,NA,NA
"361",361,"1",1,"Y",2019-03-28,17:24:00,"Sunny","Clear",4776,10,24.5,"N",176,"N",NA,"Y",9,24.5,82,3,37,":06",15.8,170,"D3","N","Highway","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"362",362,"1",1,"Y",2019-03-28,17:34:00,"Sunny","Clear",4780,8.5,24,"N",170,"N",NA,"Y",7.5,24.5,79,14,61,":14",16.8,147,"D3","N","Highway","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"363",363,"1",1,"Y",2019-03-29,06:53:00,"Dim","Clear",4795,0,-1.5,"N",148,"N",NA,"Y",-1.5,3,78,17,59,":17",13.9,137,"D3","N","Highway","Y",NA,"1college",2019-03-29,07:12:00,-1.5,10.5,"N",3.1,NA,NA
"364",364,"1",2,"Y",2019-03-29,10:02:00,"Sunny","Clear",4812,10.5,23.5,"N",152,"N",NA,"Y",5.5,24.5,87,12,34,":22",12.2,149,"D3","N","City/Highway","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"365",365,"1",2,"Y",2019-03-29,12:21:00,"Sunny","Clear",4825,15,27.5,"N",149,"N",NA,"Y",12.5,27.5,91,12,24,":30",14.5,135,"D3","N","City/Highway","Y",NA,"1college",2019-03-29,12:53:00,12.5,20.5,"N",1.9,NA,NA
"366",366,"1",4,"Y",2019-03-29,14:45:00,"Sunny","Clear",4837,20.5,35,"N",145,"N",NA,"Y",11.5,29,96,3,14,":16",14,142,"D1","N","City","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"367",367,"6",1,"Y",2019-03-29,15:32:00,"Sunny","Clear",4841,20,28.5,"N",142,"N","Operator training","Y",13.5,24,92,0,6,":04",18,141,"D1","N","City","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"368",368,"7",1,"Y",2019-03-29,15:43:00,"Sunny","Clear",4841,16,20,"N",140,"N","Operator training","Y",12.5,18.5,94,0,9,":04",15.7,140,"D1","N","City","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"369",369,"2",3,"Y",2019-03-29,15:51:00,"Sunny","Clear",4842,14,18.5,"N",140,"N","Operator training","Y",11.5,20,81,0,9,":04",21.4,138,"D1","N","City","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"370",370,"6",1,"N",2019-03-29,16:03:00,"Sunny","Clear",4843,10.5,24,"N",138,"N",NA,"N",10.5,24.5,87,4,29,":06",13.9,132,"D1","N","City","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"371",371,"6",1,"N",2019-03-29,16:23:00,"Sunny","Clear",4847,13,26,"N",132,"N",NA,"N",11,24.5,74,8,41,":13",11.9,122,"D1","Y","Highway","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"372",372,"6",4,"N",2019-03-29,17:28:00,"Dim","Clear",4856,10.5,22,"N",122,"N",NA,"N",10.5,24,89,6,29,":14",14.8,112,"D1","Y","City","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"373",373,"6",2,"N",2019-03-29,19:08:00,"Sunny","Clear",4863,9.5,17.5,"N",112,"N",NA,"Y",8,22,84,18,42,":26",14.5,90,"D1","Y","City","Y",NA,"1home",2019-03-29,19:35:00,8,11.5,"N",19.2,NA,"Plugged in 17 hrs"
"374",374,"6",1,"Y",2019-03-30,12:57:00,"Sunny","Clear",4882,12,11.5,"N",197,"N",NA,"N",13.5,22,78,2,15,":09",15.7,194,"D1","Y","City","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"375",375,"6",1,"N",2019-03-30,13:29:00,"Sunny","Clear",4884,14.5,27.5,"N",203,"N",NA,"Y",14.5,28.5,95,1,21,":05",12.6,202,"D1","Y","City","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"376",376,"6",3,"N",2019-03-30,13:42:00,"Sunny","Clear",4886,16.5,28,"N",203,"N",NA,"N",15,26.5,91,1,24,":17",13.1,199,"D1","Y","City","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"377",377,"6",1,"N",2019-03-30,14:09:00,"Sunny","Clear",4893,17,27.5,"N",199,"N",NA,"Y",15.5,28,78,2,22,":09",13.7,196,"D1","Y","City","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"378",378,"6",1,"Y",2019-03-31,13:49:00,"Dim","Clear",4895,9,28.5,"N",196,"N","Stuffed car full of donations to Vallue Village","N",9.5,27.5,77,2,20,":07",14.6,188,"0","Y","City","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"379",379,"6",1,"N",2019-03-31,14:04:00,"Dim","Clear",4897,11,27,"N",187,"N",NA,"Y",9.5,26,77,2,20,":06",15.7,185,"0","N","City","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"380",380,"6",3,"N",2019-03-31,14:25:00,"Dim","Clear",4900,10.5,29,"N",185,"N",NA,"N",10,28,88,5,25,":12",15.2,180,"D1","N","Highway","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"381",381,"6",3,"N",2019-03-31,14:35:00,"Dim","Clear",4903,10.5,27.5,"N",181,"N",NA,"Y",9.5,27,82,3,33,":05",14.6,176,"D1","N","Highway","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"382",382,"6",1,"N",2019-04-01,08:16:00,"Dim","Clear",4906,1,1,"N",170,"N",NA,"Y",0.5,10.5,83,4,32,":08",19.8,156,"D1","Y","Highway","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"383",383,"6",1,"N",2019-04-01,16:03:00,"Dim","Clear",4910,10,18,"N",160,"N",NA,"N",9.5,21.5,87,4,19,":13",18,156,"D1","Y","City","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"384",384,"6",1,"N",2019-04-01,16:40:00,"Dim","Clear",4914,9.5,20.5,"N",155,"N","Got groceries","Y",9,22,84,3,21,":09",14.1,153,"D1","Y","City","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"385",385,"6",1,"Y",2019-04-02,08:16:00,"Sunny","Clear",4918,0.5,-2,"N",152,"N","Trouble making it accelerate at first ""recuperation 1""","N",0.5,19,86,4,26,":10",26,126,"D1","Y","Highway","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"386",386,"2",1,"Y",2019-04-02,11:46:00,"Sunny","Clear",4922,13.5,28.5,"N",126,"N",NA,"Y",9.5,30.1,77,4,24,":11",13.3,136,"0","N","City","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"387",387,"2",1,"Y",2019-04-02,14:39:00,"Sunny","Clear",4926,13.5,38.5,"N",134,"N",NA,"Y",11.5,28.4,90,5,29,":11",15.7,131,"0","N","City","Y","I did practice shift to driving mode (regen)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"388",388,"1",1,"Y",2019-04-02,20:51:00,"Dark","Clear",4932,6,12,"N",130,"N",NA,"Y",3,13.5,79,17,53,":19",16.8,112,"D3","N","Highway","Y",NA,"2home",2019-04-02,21:12:00,3,1,"Y",18,NA,NA
"389",389,"1",1,"Y",2019-04-03,06:49:00,"Dim","Clear",4949,1,12,"Y",211,"N",NA,"Y",3.5,9.5,76,17,58,":18",14.6,201,"D3","N","Highway","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"390",390,"1",1,"Y",2019-04-03,11:11:00,"Sunny","Clear",4967,12,28,"N",201,"N",NA,"Y",11.5,28.5,81,3,31,":05",14.7,197,"D3","N","Highway","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"391",391,"1",1,"Y",2019-04-03,11:32:00,"Sunny","Clear",4970,12,28,"N",199,"N","wash","Y",9,28,89,3,26,":07",14,196,"D3","N","Highway","Y","wash",NA,NA,NA,NA,NA,NA,NA,NA,NA
"392",392,"1",1,"Y",2019-04-03,12:56:00,"Sunny","Clear",4973,13.5,32,"N",197,"N","Media","Y",14,19.5,86,3,10,":23",16.7,194,"0","N","City","Y","media",NA,NA,NA,NA,NA,NA,NA,NA,NA
"393",393,"1",1,"Y",2019-04-03,14:46:00,"Sunny","Clear",4977,15,30.5,"N",194,"N","Decals","Y",15,30.5,79,2,26,":06",15.2,190,"D3","N","Highway","Y","decals canceled",NA,NA,NA,NA,NA,NA,NA,NA,NA
"394",394,"1",1,"Y",2019-04-03,14:58:00,"Sunny","Clear",4980,15,29.5,"N",190,"N",NA,"Y",15,29.5,93,0,17,":03",12.2,189,"B","N","City","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"395",395,"1",1,"Y",2019-04-03,15:54:00,"Sunny","Clear",4981,16.5,28,"N",190,"N",NA,"Y",14.5,28,80,27,48,":34",15.7,153,"B","N","City/Highway","Y",NA,"2home",2019-03-03,16:29:00,14.5,6,"Y",11.5,NA,"1.2 kwh for departure"
"396",396,"1",1,"Y",2019-04-04,06:57:00,"Sunny","Clear",5009,6,17.5,"Y",213,"N",NA,"Y",3,15,78,17,56,":18",13,209,"B","N","Highway","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"397",397,"1",1,"Y",2019-04-04,16:20:00,"Sunny","Clear",5026,19,33,"N",209,"N",NA,"Y",16,27.5,83,18,43,":26",15.7,183,"B","N","City/Highway","Y",NA,"2home",2019-04-04,16:49:00,16,19.5,"N",6.2,NA,NA
"398",398,"1",1,"Y",2019-04-04,18:26:00,"Sunny","Clear",5045,19.5,27,"N",219,"N",NA,"Y",15,27,97,1,18,":03",11.8,220,"B","N","City","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"399",399,"1",1,"Y",2019-04-04,19:22:00,"Sunny","Clear",5046,15,22,"N",221,"N",NA,"Y",12.5,22,91,9,26,":21",15,211,"B","N","City","Y","Demo drive","2home",2019-04-04,19:44:00,12.5,-1,"N",2.7,NA,NA
"400",400,"1",1,"Y",2019-04-05,06:54:00,"Dim","Clear",5055,-1,13.5,"N",219,"N",NA,"Y",-0.5,9.5,94,17,49,":21",15.6,199,"0","N","Highway","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"401",401,"1",1,"Y",2019-04-05,08:39:00,"Dim","Clear",5073,2,4.5,"N",199,"N",NA,"Y",0.5,5,76,0,11,":02",25.9,197,"0","N","City","Y","seawa",NA,NA,NA,NA,NA,NA,NA,NA,NA
"402",402,"1",1,"Y",2019-04-05,15:52:00,"Sunny","Clear",5073,14.5,28,"N",197,"N",NA,"Y",13.5,27.5,93,0,9,":05",14.5,196,"0","N","City","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"403",403,"1",1,"Y",2019-04-05,16:39:00,"Sunny","Clear",5074,17.5,32.5,"N",196,"N",NA,"Y",14,29.5,87,6,29,"3:14",14.6,190,"B","N","City/Highway","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"404",404,"1",1,"Y",2019-04-05,17:16:00,"Dim","Clear",5081,16,29.5,"N",190,"N",NA,"Y",13.5,30,76,12,64,":11",15.3,177,"B","N","Highway","Y",NA,"2home",2019-04-06,08:14:00,10.5,12.5,"N",6.6,NA,NA
"405",405,"1",3,"Y",2019-04-07,10:50:00,"Sunny","Clear",5093,12.5,11.5,"N",215,"N",NA,"Y",13,19.5,71,15,63,":14",12.8,214,"B","Y","Highway","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"406",406,"1",3,"Y",2019-04-07,12:40:00,"Dim","Clear",5108,15.5,28.5,"N",215,"N",NA,"Y",15.5,23.5,85,8,14,":36",15.5,204,"B","N","City/Highway","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"407",407,"1",3,"Y",2019-04-07,13:35:00,"Dim","Clear",5117,16.5,25,"N",204,"N",NA,"Y",14.5,25.5,89,1,10,":06",15.8,203,"B","N","City","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"408",408,"1",3,"Y",2019-04-07,14:33:00,"Sunny","Clear",5118,15.5,32.5,"N",204,"N",NA,"Y",16.5,27,78,19,54,":22",17,164,"B","N","Highway","Y",NA,"2home",2019-04-07,14:59:00,16.5,2.5,"Y",8.8,NA,NA
"409",409,"1",1,"Y",2019-04-08,06:50:00,"Sunny","Clear",5137,2.5,12.5,"Y",211,"N",NA,"Y",0,12,76,17,57,":18",14.1,201,"B","N","Highway","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"410",410,"4",2,"Y",2019-04-08,16:15:00,"Sunny","Clear",5155,18,46,"N",202,"N",NA,"Y",15,29.5,92,8,23,":22",12.4,202,"B","N","City/Highway","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"411",411,"1",1,"Y",2019-04-08,16:51:00,"Sunny","Clear",5163,17,28,"N",202,"N",NA,"Y",15.5,28,85,17,55,":18",15.4,177,"B","N","Highway","Y",NA,"2home",2019-04-08,17:11:00,15.5,3,"Y",8.4,NA,NA
"412",412,"1",1,"Y",2019-04-09,06:55:00,"Sunny","Clear",5181,3,14.5,"Y",220,"N",NA,"Y",1.5,13.5,77,17,59,":17",13.8,210,"B","N","Highway","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"413",413,"1",1,"Y",2019-04-09,08:20:00,"Sunny","Clear",5198,6.5,12,"N",211,"N","stickers","Y",5,13.5,88,3,33,":05",15.1,207,"B","N","Highway","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"414",414,"1",1,"Y",2019-04-09,08:31:00,"Sunny","Clear",5201,6,13.5,"N",207,"N","stickers and wash","Y",11,15,74,0,8,":04",21,206,"B","N","City","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"415",415,"1",1,"Y",2019-04-09,09:36:00,"Sunny","Clear",5202,13,15.5,"N",206,"N",NA,"Y",10.5,17.5,71,5,49,":07",17,194,"B","N","City/Highway","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"416",416,"1",1,"Y",2019-04-09,10:10:00,"Sunny","Clear",5208,12,17.5,"N",194,"N",NA,"Y",12.5,16.5,82,4,35,":08",11.7,194,"B","N","City","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"417",417,"1",1,"Y",2019-04-09,16:50:00,"Dim","Clear",5212,15,21,"N",195,"N",NA,"Y",13.5,22,79,17,58,":18",14.6,177,"B","N","Highway","Y",NA,"2home",2019-04-09,17:10:00,13.5,1,"Y",8.9,NA,"0.86 kwh for departure"
"418",418,"1",1,"Y",2019-04-10,06:44:00,"Dim","Clear",5230,1,12,"Y",224,"N",NA,"Y",1.5,11,82,17,49,":21",13.7,214,"D1","N","Highway","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"419",419,"7",2,"Y",2019-04-10,15:07:00,"Dim","Clear",5248,13.5,37,"N",214,"N",NA,"Y",12.5,29.5,95,4,21,":11",12.9,213,"D1","N","City","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"420",420,"7",1,"Y",2019-04-10,16:10:00,"Dim","Clear",5252,18.5,34,"N",214,"N",NA,"Y",13.5,29.5,82,5,23,":14",8.9,214,"0","N","City","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"421",421,"7",2,"Y",2019-04-10,16:27:00,"Dim","Clear",5257,14.5,30,"N",220,"N",NA,"Y",14,25.5,80,3,22,":08",22.2,206,"0","Y","City","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"422",422,"7",2,"Y",2019-04-10,17:32:00,"Dim","Clear",5260,21.5,35,"N",207,"N",NA,"Y",13,32.5,93,7,32,":13",11.5,205,"D1","N","City/Highway","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"423",423,"7",2,"Y",2019-04-10,21:45:00,"Dark","Clear",5267,11,12.5,"N",206,"N",NA,"Y",8,15.5,93,6,30,":12",14.1,197,"D1","N","City/Highway","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"424",424,"7",2,"Y",2019-04-10,22:02:00,"Dark","Clear",5274,9,15,"N",198,"N",NA,"Y",7.5,16,90,6,31,":13",12.5,192,"0","N","City/Highway","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"425",425,"7",2,"Y",2019-04-10,22:26:00,"Dark","Clear",5281,7.5,14,"N",192,"N",NA,"Y",7,16.5,95,24,32,":46",12.6,173,"D1","N","City/Highway","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"426",426,"7",2,"Y",2019-04-11,07:51:00,"Sunny","Clear",5306,3,4.5,"N",173,"N",NA,"Y",3.5,10,94,6,28,":14",12.8,167,"D1","N","City","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"427",427,"7",1,"Y",2019-04-11,11:50:00,"Dim","Clear",5313,15,36,"N",167,"N",NA,"Y",11,26.5,93,9,23,":25",13.5,147,"D2","Y","City","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"428",428,"7",1,"Y",2019-04-11,12:45:00,"Dim","Clear",5323,14.5,33.5,"N",154,"N",NA,"Y",11.5,28.5,95,6,30,":13",10.8,147,"D1","Y","City","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"429",429,"7",1,"Y",2019-04-11,16:02:00,"Dim","Clear",5329,17.5,32,"N",151,"N",NA,"Y",12.5,26,94,4,27,":09",8.9,152,"D1","Y","City","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"430",430,"7",2,"Y",2019-04-11,16:24:00,"Dim","Clear",5334,14,27,"N",148,"N",NA,"Y",12,25.5,93,3,25,":08",20.1,136,"D3","Y","City","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"431",431,"7",2,"Y",2019-04-11,17:02:00,"Dim","Clear",5337,12.5,25.5,"N",135,"N",NA,"Y",11,26.5,92,12,41,":18",12.7,124,"D2","Y","City/Highway","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"432",432,"7",1,"Y",2019-04-11,19:17:00,"Dim","Clear",5350,9.5,18,"N",124,"N",NA,"Y",7.5,18.5,93,15,36,":26",36,121,"D1","N","City/Highway","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"433",433,"7",3,"Y",2019-04-11,19:30:00,"Dim","Clear",5350,8,17,"N",122,"N",NA,"Y",6.5,19.5,84,29,55,":32",14,84,"D1","N","City/Highway","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"434",434,"7",1,"Y",2019-04-11,20:52:00,"Dark","Clear",5382,5.5,11.5,"N",84,"N",NA,"Y",9.5,16,94,12,32,":22",11.1,74,"D1","N","City","Y",NA,"1home",2019-04-11,21:18:00,14.5,11,"N",1.8,NA,"don<U+0092>t think it actually charged"
"435",435,"7",2,"Y",2019-04-12,16:28:00,"Sunny","Clear",5345,11,26,"N",76,"N",NA,"Y",11.5,28,93,7,21,":22",13.4,67,"D1","N","City","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"436",436,"7",2,"Y",2019-04-12,17:05:00,"Sunny","Clear",5403,13.5,30,"N",104,"N",NA,"Y",11,29.5,75,2,21,":07",10.5,102,"0","N","City/Highway","Y",NA,"2station",2019-04-12,NA,NA,NA,"N",5,NA,NA
"437",437,"7",2,"Y",2019-04-12,17:56:00,"Sunny","Clear",5405,13,29,"N",102,"N",NA,"Y",11,28.5,79,9,40,":13",12.6,94,"0","N","City/Highway","Y",NA,"1home",2019-04-12,18:21:00,11,15,"N",23.3,NA,NA
"438",438,"7",2,"Y",2019-04-13,15:04:00,"Dim","Clear",5415,15,23.5,"N",236,"N",NA,"Y",14.5,25.5,77,16,53,":18",14.1,210,"D3","N","Highway","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
